| Transportation | Solomon Islands |
| --- | --- |
| Airports: | 36 (2012) |
| Airports - with paved runways: | total: 1 |
| Airports - with paved runways: | 1,524 to 2,437 m: 1 (2012) |
| Airports - with unpaved runways: | total: 35 |
| Airports - with unpaved runways: | 1,524 to 2,437 m: 1 |
| Airports - with unpaved runways: | 914 to 1,523 m: 9 |
| Airports - with unpaved runways: | under 914 m: 25 (2012) |
| Heliports: | 3 (2012) |
| Roadways: | total: 1,360 km |
| Roadways: | paved: 33 km |
| Roadways: | unpaved: 1,327 km |
| Roadways: | note: includes 800 km of private plantation roads (2002) |
| Ports and terminals: | Honiara, Malloco Bay, Viru Harbor, Tulaghi |
