| Transportation | Honduras |
| --- | --- |
| Airports: | 104 (2010) |
| Airports - with paved runways: | total: 12 |
| Airports - with paved runways: | 2,438 to 3,047 m: 3 |
| Airports - with paved runways: | 1,524 to 2,437 m: 2 |
| Airports - with paved runways: | 914 to 1,523 m: 4 |
| Airports - with paved runways: | under 914 m: 3 (2010) |
| Airports - with unpaved runways: | total: 92 |
| Airports - with unpaved runways: | 1,524 to 2,437 m: 2 |
| Airports - with unpaved runways: | 914 to 1,523 m: 16 |
| Airports - with unpaved runways: | under 914 m: 74 (2010) |
| Railways: | total: 75 km |
| Railways: | narrow gauge: 75 km 1.067-m gauge (2009) |
| Roadways: | total: 14,239 km |
| Roadways: | paved: 3,159 km |
| Roadways: | unpaved: 11,080 km (1,420 km summer only) (2009) |
| Waterways: | 465 km (most navigable only by small craft) (2010) |
| Merchant marine: | total: 104 |
| Merchant marine: | by type: bulk carrier 8, cargo 50, carrier 2, chemical tanker 7, container 1, passenger 3, passenger/cargo 2, petroleum tanker 22, refrigerated cargo 6, roll on/roll off 3 |
| Merchant marine: | foreign-owned: 49 (Bahrain 5, Canada 1, China 2, Egypt 2, Greece 4, Hong Kong 1, Israel 1, Japan 4, Lebanon 2, Mexico 1, Montenegro 2, Panama 1, Singapore 12, South Korea 6, Taiwan 2, Tanzania 1, UK 1, Vietnam 1) (2010) |
| Ports and terminals: | La Ceiba, Puerto Cortes, San Lorenzo, Tela |
