| Transportation | El Salvador |
| --- | --- |
| Airports: | 65 (2007) |
| Airports - with paved runways: | total: 4 |
| Airports - with paved runways: | over 3,047 m: 1 |
| Airports - with paved runways: | 1,524 to 2,437 m: 1 |
| Airports - with paved runways: | 914 to 1,523 m: 2 (2007) |
| Airports - with unpaved runways: | total: 61 |
| Airports - with unpaved runways: | 1,524 to 2,437 m: 1 |
| Airports - with unpaved runways: | 914 to 1,523 m: 12 |
| Airports - with unpaved runways: | under 914 m: 48 (2007) |
| Heliports: | 1 (2007) |
| Railways: | total: 562 km |
| Railways: | narrow gauge: 562 km 0.914-m gauge |
| Railways: | note: railways not in operation since 2005 because of disuse and high costs that led to a lack of maintenance (2007) |
| Roadways: | total: 10,886 km |
| Roadways: | paved: 2,827 km (includes 327 km of expressways) |
| Roadways: | unpaved: 8,059 km (2000) |
| Waterways: | Rio Lempa partially navigable for small craft (2007) |
| Ports and terminals: | Acajutla, Puerto Cutuco |
