| Transportation | Singapore |
| --- | --- |
| Airports: | 8 (2010) |
| Airports - with paved runways: | total: 8 |
| Airports - with paved runways: | over 3,047 m: 2 |
| Airports - with paved runways: | 2,438 to 3,047 m: 1 |
| Airports - with paved runways: | 1,524 to 2,437 m: 4 |
| Airports - with paved runways: | 914 to 1,523 m: 1 (2010) |
| Pipelines: | gas 111 km (2010) |
| Roadways: | total: 3,356 km |
| Roadways: | paved: 3,356 km (includes 161 km of expressways) (2009) |
| Merchant marine: | total: 1,422 |
| Merchant marine: | by type: bulk carrier 183, cargo 88, carrier 6, chemical tanker 233, container 321, liquefied gas 117, petroleum tanker 404, refrigerated cargo 5, roll on/roll off 13, vehicle carrier 52 |
| Merchant marine: | foreign-owned: 850 (Australia 11, Bangladesh 2, Bermuda 21, Chile 7, China 26, Cyprus 3, Denmark 125, France 3, Germany 30, Greece 19, Hong Kong 38, India 19, Indonesia 53, Italy 3, Japan 146, Malaysia 27, Netherlands 1, Norway 132, Slovenia 1, South Africa 3, South Korea 9, Sweden 9, Switzerland 4, Taiwan 79, Thailand 30, UAE 10, UK 6, US 33) |
| Merchant marine: | note: this country allows large numbers of ships owned by foreign entities to be registered in its national shipping registry and to fly its flag; these ships operate under the laws of the flag state |
| Merchant marine: | registered in other countries: 327 (Australia 2, Bahamas 7, Bangladesh 3, Belize 7, Cambodia 4, Cyprus 1, Dominica 1, France 3, Gibraltar 1, Honduras 12, Hong Kong 13, Indonesia 42, Isle of Man 1, Kiribati 11, Liberia 27, Malaysia 19, Malta 3, Marshall Islands 28, Mongolia 1, North Korea 2, Panama 79, Philippines 1, Saint Kitts and Nevis 5, Sierra Leone 5, Thailand 1, Tuvalu 25, US 17, unknown 6) (2010) |
| Ports and terminals: | Singapore |
| Transportation - note: | the International Maritime Bureau reports the territorial and offshore waters in the South China Sea as high risk for piracy and armed robbery against ships; numerous commercial vessels have been attacked and hijacked both at anchor and while underway; hijacked vessels are often disguised and cargo diverted to ports in East Asia; crews have been murdered or cast adrift |
