| Transportation | Saint Vincent and the Grenadines |
| --- | --- |
| Highways: | total: 1,040 km |
| Highways: | paved: 320 km |
| Highways: | unpaved: 720 km (1999 est.) |
| Ports and harbors: | Kingstown |
| Merchant marine: | total: 704 ships (1,000 GRT or over) 5,967,418 GRT/9,041,023 DWT |
| Merchant marine: | registered in other countries: 25 (2004 est.) |
| Merchant marine: | by type: bulk 120, cargo 346, chemical tanker 19, combination bulk 10, combination ore/oil 1, container 51, liquefied gas 5, livestock carrier 4, multi-functional large load carrier 4, passenger 8, petroleum tanker 31, refrigerated cargo 45, roll on/roll off 42, short-sea/passenger 9, specialized tanker 8, vehicle carrier 1 |
| Merchant marine: | foreign-owned: Albania 1, Angola 2, Argentina 1, Australia 3, Bangladesh 3, Barbados 2, Belgium 3, Bulgaria 16, China 114, Colombia 1, Croatia 7, Cyprus 2, Denmark 13, Egypt 5, Estonia 13, France 17, Germany 10, Greece 134, Guyana 8, Hong Kong 15, Iceland 7, India 5, Indonesia 1, Israel 3, Italy 21, Kenya 5, South Korea 4, Latvia 7, Lebanon 9, Liberia 5, Lithuania 3, Malta 4, Isle of Man 1, Marshall Islands 3, Mexico 2, Monaco 6, Netherlands 9, Nigeria 8, Norway 32, Pakistan 6, Panama 3, Poland 3, Portugal 1, Puerto Rico 2, Romania 2, Russia 21, Saint Kitts and Nevis 1, Saint Lucia 1, Saudi Arabia 3, Singapore 5, Slovenia 7, Spain 1, Sweden 9, Switzerland 8, Syria 6, Taiwan 1, Thailand 1, Trinidad and Tobago 1, Turkey 23, Ukraine 8, United Kingdom 11, United States |
| Airports: | 6 (2003 est.) |
| Airports - with paved runways: | total: 5 |
| Airports - with paved runways: | 914 to 1,523 m: 4 |
| Airports - with paved runways: | under 914 m: 1 (2004 est.) |
| Airports - with unpaved runways: | total: 1 |
| Airports - with unpaved runways: | under 914 m: 1 (2004 est.) |
