| Transportation | Saint Vincent and the Grenadines |
| --- | --- |
| Airports: | 6 (2010) |
| Airports - with paved runways: | total: 5 |
| Airports - with paved runways: | 1,524 to 2,437 m: 1 |
| Airports - with paved runways: | 914 to 1,523 m: 3 |
| Airports - with paved runways: | under 914 m: 1 (2010) |
| Airports - with unpaved runways: | total: 1 |
| Airports - with unpaved runways: | under 914 m: 1 (2010) |
| Roadways: | total: 829 km |
| Roadways: | paved: 580 km |
| Roadways: | unpaved: 249 km (2003) |
| Merchant marine: | total: 444 |
| Merchant marine: | by type: bulk carrier 76, cargo 274, carrier 16, chemical tanker 4, container 21, liquefied gas 3, passenger 2, passenger/cargo 9, petroleum tanker 10, refrigerated cargo 12, roll on/roll off 15, specialized tanker 2 |
| Merchant marine: | foreign-owned: 382 (Austria 2, Bangladesh 1, Belgium 6, Bermuda 1, Bulgaria 10, China 82, Croatia 8, Cyprus 2, Czech Republic 1, Denmark 19, Dominica 1, Egypt 4, Estonia 10, France 2, Germany 2, Greece 63, Guyana 2, Hong Kong 4, Israel 3, Italy 5, Japan 3, Kenya 2, Latvia 15, Lebanon 4, Lithuania 10, Monaco 3, Netherlands 2, Nigeria 1, Norway 12, Oman 1, Pakistan 1, Poland 1, Romania 1, Russia 15, Slovenia 2, Sweden 2, Switzerland 5, Syria 13, Turkey 18, UAE 4, UK 7, Ukraine 12, US 19, Venezuela 1) |
| Merchant marine: | note: this country allows large numbers of ships owned by foreign entities to be registered in its national shipping registry and to fly its flag; these ships operate under the laws of the flag state (2010) |
| Ports and terminals: | Kingstown |
