| Transportation | Marshall Islands |
| --- | --- |
| Railways: | 0 km |
| Highways: | total: NA km |
| Highways: | paved: 64.5 km |
| Highways: | unpaved: NA km |
| Highways: | note: paved roads on major islands (Majuro, Kwajalein), otherwise stone-, coral-, or laterite-surfaced roads and tracks (2002) |
| Waterways: | none |
| Ports and harbors: | Majuro |
| Merchant marine: | total: 270 ships (1,000 GRT or over) totaling 11,807,839 GRT/19,332,014 DWT |
| Merchant marine: | note: the ship's register of the Marshall Islands is a flag of convenience register since essentially none of the vessels on it is owned domestically, includes the following foreign-owned ships registered here as a flag of convenience: China 1, Cyprus 1, Denmark 9, Germany 70, Greece 54, Hong Kong 2, Japan 4, Monaco 8, Netherlands 8, Norway 10, Poland 16, Singapore 1, Turkey 6, United Kingdom 3, United States 87, Uruguay 1 (2002 est.) |
| Merchant marine: | ships by type: bulk 82, cargo 14, chemical tanker 24, combination ore/oil 4, container 46, liquefied gas 8, multi-functional large-load carrier 1, petroleum tanker 88, vehicle carrier 3 |
| Airports: | 17 (2001) |
| Airports - with paved runways: | total: 4 |
| Airports - with paved runways: | 1,524 to 2,437 m: 3 |
| Airports - with paved runways: | 914 to 1,523 m: 1 (2002) |
| Airports - with unpaved runways: | total: 11 |
| Airports - with unpaved runways: | 914 to 1,523 m: 10 |
| Airports - with unpaved runways: | under 914 m: 1 (2002) |
