| Transportation | Marshall Islands |
| --- | --- |
| Railways: | 0 km |
| Highways: | total: NA km |
| Highways: | paved: 64.5 km |
| Highways: | unpaved: NA km |
| Highways: | note: paved roads on major islands (Majuro, Kwajalein), otherwise stone-, coral-, or laterite-surfaced roads and tracks (2002) |
| Waterways: | none |
| Ports and harbors: | Majuro |
| Merchant marine: | total: 342 ships (1,000 GRT or over) 14,471,690 GRT/23,802,896 DWT |
| Merchant marine: | note: the ship's register of the Marshall Islands is a flag of convenience register since essentially none of the vessels on it is owned domestically; includes the following foreign-owned ships registered here as a flag of convenience: China 1, Cyprus 1, Denmark 9, Germany 70, Greece 54, Hong Kong 2, Japan 4, Monaco 8, Netherlands 8, UK 3, US 87, Uruguay 1 (2002 est.) |
| Merchant marine: | ships by type: bulk 86, cargo 18, chemical tanker 31, combination bulk 4, combination ore/oil 7, container 69, liquefied gas 8, multi-functional large-load carrier 1, passenger 6, petroleum tanker 106, roll on/roll off 1, short-sea passenger 1, vehicle carrier 4 |
| Airports: | 15 (2002) |
| Airports - with paved runways: | total: 4 |
| Airports - with paved runways: | 1,524 to 2,437 m: 3 |
| Airports - with paved runways: | 914 to 1,523 m: 1 (2002) |
| Airports - with unpaved runways: | total: 11 |
| Airports - with unpaved runways: | 914 to 1,523 m: 10 |
| Airports - with unpaved runways: | under 914 m: 1 (2002) |
