| Transportation | Albania |
| --- | --- |
| Railways: | total: 447 km |
| Railways: | standard gauge: 447 km 1.435-m gauge (2004) |
| Highways: | total: 18,000 km |
| Highways: | paved: 5,400 km |
| Highways: | unpaved: 12,600 km (2002) |
| Waterways: | 43 km (2004) |
| Pipelines: | gas 339 km; oil 207 km (2004) |
| Ports and harbors: | Durres, Sarande, Shengjin, Vlore |
| Merchant marine: | total: 25 ships (1,000 GRT or over) 40,878 GRT/62,676 DWT |
| Merchant marine: | by type: cargo 24, roll on/roll off 1 |
| Merchant marine: | foreign-owned: 2 (Denmark 1, Turkey 1) |
| Merchant marine: | registered in other countries: 1 (2005) |
| Airports: | 11 (2004 est.) |
| Airports - with paved runways: | total: 3 |
| Airports - with paved runways: | 2,438 to 3,047 m: 3 (2004 est.) |
| Airports - with unpaved runways: | total: 8 |
| Airports - with unpaved runways: | over 3,047 m: 1 |
| Airports - with unpaved runways: | 1,524 to 2,437 m: 1 |
| Airports - with unpaved runways: | 914 to 1,523 m: 2 |
| Airports - with unpaved runways: | under 914 m: 4 (2004 est.) |
| Heliports: | 1 (2004 est.) |
