| Transportation | Czech Republic |
| --- | --- |
| Railways: | total: 9,543 km |
| Railways: | standard gauge: 9,421 km 1.435-m gauge (2,893 km electrified) |
| Railways: | narrow gauge: 122 km 0.760-m gauge (23 km electrified) (2004) |
| Highways: | total: 127,204 km |
| Highways: | paved: 127,204 km (including 518 km of expressways) |
| Highways: | unpaved: 0 km (2002) |
| Waterways: | 664 km (on Elbe, Vltava, and Oder rivers) (2004) |
| Pipelines: | gas 7,020 km; oil 547 km; refined products 94 km (2004) |
| Ports and harbors: | Decin, Prague, Usti nad Labem |
| Merchant marine: | registered in other countries: 3 |
| Airports: | 120 (2004 est.) |
| Airports - with paved runways: | total: 44 |
| Airports - with paved runways: | over 3,047 m: 2 |
| Airports - with paved runways: | 2,438 to 3,047 m: 9 |
| Airports - with paved runways: | 1,524 to 2,437 m: 14 |
| Airports - with paved runways: | 914 to 1,523 m: 2 |
| Airports - with paved runways: | under 914 m: 17 (2004 est.) |
| Airports - with unpaved runways: | total: 76 |
| Airports - with unpaved runways: | 1,524 to 2,437 m: 1 |
| Airports - with unpaved runways: | 914 to 1,523 m: 27 |
| Airports - with unpaved runways: | under 914 m: 48 (2004 est.) |
| Heliports: | 2 (2004 est.) |
