| Transportation | Guyana |
| --- | --- |
| Airports: | 96 (2010) |
| Airports - with paved runways: | total: 10 |
| Airports - with paved runways: | 1,524 to 2,437 m: 2 |
| Airports - with paved runways: | 914 to 1,523 m: 1 |
| Airports - with paved runways: | under 914 m: 7 (2010) |
| Airports - with unpaved runways: | total: 86 |
| Airports - with unpaved runways: | 914 to 1,523 m: 13 |
| Airports - with unpaved runways: | under 914 m: 73 (2010) |
| Roadways: | total: 7,970 km |
| Roadways: | paved: 590 km |
| Roadways: | unpaved: 7,380 km (2001) |
| Waterways: | 330 km (the Berbice, Demerara, and Essequibo rivers are navigable by oceangoing vessels for 150 km, 100 km, and 80 km respectively) (2010) |
| Merchant marine: | total: 8 |
| Merchant marine: | by type: cargo 6, petroleum tanker 1, refrigerated cargo 1 |
| Merchant marine: | registered in other countries: 3 (Saint Vincent and the Grenadines 2, unknown 1) (2010) |
| Ports and terminals: | Georgetown |
