| Transportation | MALAYSIA |
| --- | --- |
| National air transport system: | number of registered air carriers: 12 |
| National air transport system: | inventory of registered aircraft operated by air carriers: 263 |
| National air transport system: | annual passenger traffic on registered air carriers: 50,347,149 |
| National air transport system: | annual freight traffic on registered air carriers: 2,005,979,379 mt-km (2015) |
| Civil aircraft registration country code prefix: | 9M (2016) |
| Airports: | 114 (2013) |
| Airports - with paved runways: | total: 39 |
| Airports - with paved runways: | over 3,047 m: 8 |
| Airports - with paved runways: | 2,438 to 3,047 m: 8 |
| Airports - with paved runways: | 1,524 to 2,437 m: 7 |
| Airports - with paved runways: | 914 to 1,523 m: 8 |
| Airports - with paved runways: | under 914 m: 8 (2013) |
| Airports - with unpaved runways: | total: 75 |
| Airports - with unpaved runways: | 914 to 1,523 m: 6 |
| Airports - with unpaved runways: | under 914 m: 69 (2013) |
| Heliports: | 4 (2013) |
| Pipelines: | condensate 354 km; gas 6,439 km; liquid petroleum gas 155 km; oil 1,937 km; oil/gas/water 43 km; refined products 114 km; water 26 km (2013) |
| Railways: | total: 1,849 km |
| Railways: | standard gauge: 59 km 1.435-m gauge (59 km electrified) |
| Railways: | narrow gauge: 1,792 km 1.000-m gauge (339 km electrified) (2014) |
| Roadways: | total: 144,403 km (excludes local roads) |
| Roadways: | paved: 116,169 km (includes 1,821 km of expressways) |
| Roadways: | unpaved: 28,234 km (2010) |
| Waterways: | 7,200 km (Peninsular Malaysia 3,200 km; Sabah 1,500 km; Sarawak 2,500 km) (2011) |
| Merchant marine: | total: 315 |
| Merchant marine: | by type: bulk carrier 11, cargo 83, carrier 2, chemical tanker 47, container 41, liquefied gas 34, passenger/cargo 4, petroleum tanker 86, roll on/roll off 2, vehicle carrier 5 |
| Merchant marine: | foreign-owned: 26 (Denmark 1, Hong Kong 8, Japan 2, Russia 2, Singapore 13) |
| Merchant marine: | registered in other countries: 82 (Bahamas 13, India 1, Indonesia 1, Isle of Man 6, Malta 1, Marshall Islands 11, Panama 12, Papua New Guinea 1, Philippines 1, Saint Kitts and Nevis 1, Singapore 27, Thailand 3, US 2, unknown 2) (2010) |
| Ports and terminals: | major seaport(s): Bintulu, Johor Bahru, George Town (Penang), Port Kelang (Port Klang), Tanjung Pelepas |
| Ports and terminals: | container port(s) (TEUs): George Town (Penang)(1,202,180), Port Kelang (Port Klang)(9,435,403), Tanjung Pelepas (7,302,461) |
| Ports and terminals: | LNG terminal(s) (export): Bintulu (Sarawak) |
| Ports and terminals: | LNG terminal(s) (import): Sungei Udang |
| Transportation - note: | the International Maritime Bureau reports that the territorial and offshore waters in the Strait of Malacca and South China Sea remain high risk for piracy and armed robbery against ships; in the past, commercial vessels have been attacked and hijacked both at anchor and while underway; hijacked vessels are often disguised and cargo diverted to ports in East Asia; crews have been murdered or cast adrift; 24 attacks were reported in 2014 |
