| Transportation | Israel |
| --- | --- |
| Airports: | 47 (2009) |
| Airports - with paved runways: | total: 30 |
| Airports - with paved runways: | over 3,047 m: 2 |
| Airports - with paved runways: | 2,438 to 3,047 m: 6 |
| Airports - with paved runways: | 1,524 to 2,437 m: 6 |
| Airports - with paved runways: | 914 to 1,523 m: 10 |
| Airports - with paved runways: | under 914 m: 6 (2009) |
| Airports - with unpaved runways: | total: 17 |
| Airports - with unpaved runways: | 1,524 to 2,437 m: 1 |
| Airports - with unpaved runways: | 914 to 1,523 m: 2 |
| Airports - with unpaved runways: | under 914 m: 14 (2009) |
| Heliports: | 3 (2009) |
| Pipelines: | gas 176 km; oil 442 km; refined products 261 km (2008) |
| Railways: | total: 913 km |
| Railways: | standard gauge: 913 km 1.435-m gauge (2008) |
| Roadways: | total: 17,870 km |
| Roadways: | paved: 17,870 km (includes 146 km of expressways) (2007) |
| Merchant marine: | total: 11 |
| Merchant marine: | by type: cargo 2, container 9 |
| Merchant marine: | registered in other countries: 60 (Bermuda 3, Cyprus 4, Georgia 2, Honduras 1, Liberia 23, Malta 18, Panama 3, Saint Vincent and the Grenadines 2, Slovakia 4) (2008) |
| Ports and terminals: | Ashdod, Elat (Eilat), Hadera, Haifa |
