| Transportation | Falkland Islands (Islas Malvinas) |
| --- | --- |
| Highways: | total: 440 km |
| Highways: | paved: 50 km |
| Highways: | unpaved: 390 km (2002) |
| Ports and harbors: | Stanley |
| Ports and harbors: | note: the primary port is located in Stanley Harbour and known locally as FIPASS (Falkland Interim Port and Storage System); the facility consists of seven permanently moored barges providing 300 meters of berthing space; it was installed by the military after 1982 and handed over to the Falkland Islands Government in 1988 |
| Airports: | 5 (2003 est.) |
| Airports - with paved runways: | total: 2 |
| Airports - with paved runways: | 2,438 to 3,047 m: 1 |
| Airports - with paved runways: | under 914 m: 1 (2004 est.) |
| Airports - with unpaved runways: | total: 3 |
| Airports - with unpaved runways: | under 914 m: 3 (2004 est.) |
