| Transportation | CENTRAL AFRICAN REPUBLIC |
| --- | --- |
| National air transport system: | number of registered air carriers: 2 |
| National air transport system: | inventory of registered aircraft operated by air carriers: 2 |
| National air transport system: | annual passenger traffic on registered air carriers: 46,364 |
| National air transport system: | annual freight traffic on registered air carriers: 0 mt-km (2015) |
| Civil aircraft registration country code prefix: | TL (2016) |
| Airports: | 39 (2013) |
| Airports - with paved runways: | total: 2 |
| Airports - with paved runways: | 2,438 to 3,047 m: 1 |
| Airports - with paved runways: | 1,524 to 2,437 m: 1 (2017) |
| Airports - with unpaved runways: | total: 37 |
| Airports - with unpaved runways: | 2,438 to 3,047 m: 1 |
| Airports - with unpaved runways: | 1,524 to 2,437 m: 11 |
| Airports - with unpaved runways: | 914 to 1,523 m: 19 |
| Airports - with unpaved runways: | under 914 m: 6 (2013) |
| Roadways: | total: 20,278 km |
| Roadways: | paved: 1,385 km |
| Roadways: | unpaved: 18,893 km (2010) |
| Waterways: | 2,800 km (the primary navigable river is the Ubangi, which joins the River Congo; it was the traditional route for the export of products because it connected with the Congo-Ocean railway at Brazzaville; because of the warfare on both sides of the River Congo from 1997, importers and exporters preferred routes through Cameroon) (2011) |
| Ports and terminals: | river port(s): Bangui (Oubangui); Nola (Sangha) |
