| Transportation |   |
| --- | --- |
| Railways: | total: 2,850 km |
| Railways: | broad gauge: 2,576 km 1.668-m gauge (623 km electrified; 426 km double track) |
| Railways: | narrow gauge: 274 km 1.000-m gauge (1998) |
| Highways: | total: 68,732 km |
| Highways: | paved: 59,110 km (including 797 km of expressways) |
| Highways: | unpaved: 9,622 km (1999 est.) |
| Waterways: | 820 km navigable; relatively unimportant to national economy, used by shallow-draft craft limited to 300 metric-ton or less cargo capacity |
| Pipelines: | crude oil 22 km; petroleum products 58 km; natural gas 700 km |
| note: | the secondary lines for the natural gas pipeline that will be 300 km long have not yet been built |
| Ports and harbors: | Aveiro, Funchal (Madeira Islands), Horta (Azores), Leixoes, Lisbon, Porto, Ponta Delgada (Azores), Praia da Vitoria (Azores), Setubal, Viana do Castelo |
| Merchant marine: | total: 151 ships (1,000 GRT or over) totaling 1,061,202 GRT/1,601,267 DWT |
| Merchant marine: | ships by type: bulk 13, cargo 80, chemical tanker 14, container 8, liquified gas 8, multi-functional large load carrier 1, petroleum tanker 10, refrigerated cargo 1, roll-on/roll-off 6, short-sea passenger 5, vehicle carrier 5 (1999 est.) |
| Merchant marine: | note: Portugal has created a captive register on Madeira for Portuguese-owned ships; ships on the Madeira Register (MAR) will have taxation and crewing benefits of a flag of convenience (1998 est.) |
| Airports: | 66 (1999 est.) |
| Airports - with paved runways: | total: 40 |
| Airports - with paved runways: | over 3,047 m: 5 |
| Airports - with paved runways: | 2,438 to 3,047 m: 8 |
| Airports - with paved runways: | 1,524 to 2,437 m: 4 |
| Airports - with paved runways: | 914 to 1,523 m: 18 |
| Airports - with paved runways: | under 914 m: 5 (1999 est.) |
| Airports - with unpaved runways: | total: 26 |
| Airports - with unpaved runways: | 914 to 1,523 m: 1 |
| Airports - with unpaved runways: | under 914 m: 25 (1999 est.) |
