| Transportation | Marshall Islands |
| --- | --- |
| Airports: | 15 (2010) |
| Airports - with paved runways: | total: 4 |
| Airports - with paved runways: | 1,524 to 2,437 m: 3 |
| Airports - with paved runways: | 914 to 1,523 m: 1 (2010) |
| Airports - with unpaved runways: | total: 11 |
| Airports - with unpaved runways: | 914 to 1,523 m: 10 |
| Airports - with unpaved runways: | under 914 m: 1 (2010) |
| Roadways: | total: 2,028 km (includes 75 km of expressways) (2007) |
| Merchant marine: | total: 1,381 |
| Merchant marine: | by type: barge carrier 1, bulk carrier 415, cargo 63, chemical tanker 314, combination ore/oil 2, container 206, liquefied gas 83, passenger 7, passenger/cargo 1, petroleum tanker 259, refrigerated cargo 14, roll on/roll off 9, vehicle carrier 7 |
| Merchant marine: | foreign-owned: 1,284 (Australia 1, Bermuda 34, Brazil 1, Canada 4, China 16, Croatia 12, Cyprus 38, Denmark 7, Egypt 1, Germany 247, Greece 358, Hong Kong 3, India 8, Iraq 2, Isle of Man 2, Israel 1, Italy 1, Japan 41, Jersey 9, Latvia 18, Malaysia 11, Mexico 4, Monaco 21, Netherlands 16, Norway 57, Pakistan 1, Qatar 24, Romania 2, Russia 6, Singapore 28, Slovenia 6, South Korea 25, Switzerland 12, Taiwan 2, Turkey 72, UAE 17, UK 7, Ukraine 1, US 168) |
| Merchant marine: | note: this country allows large numbers of ships owned by foreign entities to be registered in its national shipping registry and to fly its flag; these ships operate under the laws of the flag state (2010) |
| Ports and terminals: | Enitwetak Island, Kwajalein, Majuro |
