| Transportation | Papua New Guinea |
| --- | --- |
| Airports: | 578 (2007) |
| Airports - with paved runways: | total: 21 |
| Airports - with paved runways: | 2,438 to 3,047 m: 2 |
| Airports - with paved runways: | 1,524 to 2,437 m: 14 |
| Airports - with paved runways: | 914 to 1,523 m: 4 |
| Airports - with paved runways: | under 914 m: 1 (2007) |
| Airports - with unpaved runways: | total: 557 |
| Airports - with unpaved runways: | 1,524 to 2,437 m: 10 |
| Airports - with unpaved runways: | 914 to 1,523 m: 58 |
| Airports - with unpaved runways: | under 914 m: 489 (2007) |
| Heliports: | 2 (2007) |
| Pipelines: | oil 264 km (2006) |
| Roadways: | total: 19,600 km |
| Roadways: | paved: 686 km |
| Roadways: | unpaved: 18,914 km (1999) |
| Waterways: | 11,000 km (2006) |
| Merchant marine: | total: 24 ships (1000 GRT or over) 56,157 GRT/72,821 DWT |
| Merchant marine: | by type: bulk carrier 3, cargo 20, petroleum tanker 1 |
| Merchant marine: | foreign-owned: 6 (UK 6) (2007) |
| Ports and terminals: | Kimbe, Lae, Rabaul |
