| Transportation | Tanzania |
| --- | --- |
| Airports: | 124 (2007) |
| Airports - with paved runways: | total: 10 |
| Airports - with paved runways: | over 3,047 m: 2 |
| Airports - with paved runways: | 2,438 to 3,047 m: 2 |
| Airports - with paved runways: | 1,524 to 2,437 m: 5 |
| Airports - with paved runways: | 914 to 1,523 m: 1 (2007) |
| Airports - with unpaved runways: | total: 114 |
| Airports - with unpaved runways: | 1,524 to 2,437 m: 17 |
| Airports - with unpaved runways: | 914 to 1,523 m: 63 |
| Airports - with unpaved runways: | under 914 m: 34 (2007) |
| Pipelines: | gas 287 km; oil 891 km (2007) |
| Railways: | total: 3,690 km |
| Railways: | narrow gauge: 969 km 1.067-m gauge; 2,721 km 1.000-m gauge (2006) |
| Roadways: | total: 78,891 km |
| Roadways: | paved: 6,808 km |
| Roadways: | unpaved: 72,083 km (2003) |
| Waterways: | Lake Tanganyika, Lake Victoria, and Lake Nyasa principal avenues of commerce with neighboring countries; rivers not navigable (2005) |
| Merchant marine: | total: 9 |
| Merchant marine: | by type: cargo 1, passenger/cargo 4, petroleum tanker 4 |
| Merchant marine: | registered in other countries: 1 (Honduras 1) (2008) |
| Ports and terminals: | Dar es Salaam |
| Transportation - note: | the International Maritime Bureau reports the territorial and offshore waters in the Indian Ocean are high risk for piracy and armed robbery against ships; numerous commercial vessels have been attacked and hijacked both at anchor and while underway; crews have been robbed and stores or cargoes stolen |
