| Transportation | Tanzania |
| --- | --- |
| Airports: | 124 (2010) |
| Airports - with paved runways: | total: 9 |
| Airports - with paved runways: | over 3,047 m: 2 |
| Airports - with paved runways: | 2,438 to 3,047 m: 2 |
| Airports - with paved runways: | 1,524 to 2,437 m: 4 |
| Airports - with paved runways: | 914 to 1,523 m: 1 (2010) |
| Airports - with unpaved runways: | total: 115 |
| Airports - with unpaved runways: | 1,524 to 2,437 m: 19 |
| Airports - with unpaved runways: | 914 to 1,523 m: 63 |
| Airports - with unpaved runways: | under 914 m: 33 (2010) |
| Pipelines: | gas 254 km; oil 888 km; refined products 8 km (2009) |
| Railways: | total: 3,689 km |
| Railways: | narrow gauge: 969 km 1.067-m gauge; 2,720 km 1.000-m gauge (2008) |
| Roadways: | total: 78,892 km |
| Roadways: | paved: 4,741 km |
| Roadways: | unpaved: 74,151 km (2007) |
| Waterways: | Lake Tanganyika, Lake Victoria, and Lake Nyasa are principal avenues of commerce with neighboring countries; rivers are not navigable (2009) |
| Merchant marine: | total: 72 |
| Merchant marine: | by type: bulk carrier 4, cargo 43, carrier 4, chemical tanker 2, container 1, passenger 1, passenger/cargo 2, petroleum tanker 15 |
| Merchant marine: | foreign-owned: 1 (UAE 1) |
| Merchant marine: | registered in other countries: 3 (Honduras 1, Panama 2) (2010) |
| Ports and terminals: | Dar es Salaam, Zanzibar |
| Transportation - note: | the International Maritime Bureau reports the territorial and offshore waters in the Indian Ocean are high risk for piracy and armed robbery against ships; numerous commercial vessels have been attacked and hijacked both at anchor and while underway; crews have been robbed and stores or cargoes stolen |
