| Transportation | Tanzania |
| --- | --- |
| Airports: | 166 (2013) |
| Airports - with paved runways: | total: 10 |
| Airports - with paved runways: | over 3,047 m: 2 |
| Airports - with paved runways: | 2,438 to 3,047 m: 2 |
| Airports - with paved runways: | 1,524 to 2,437 m: 4 |
| Airports - with paved runways: | 914 to 1,523 m: 2 (2013) |
| Airports - with unpaved runways: | total: 156 |
| Airports - with unpaved runways: | over 3,047 m: 1 |
| Airports - with unpaved runways: | 1,524 to 2,437 m: 24 |
| Airports - with unpaved runways: | 914 to 1,523 m: 98 |
| under 914 m: | 33 (2013) |
| Pipelines: | gas 311 km; oil 891 km; refined products 8 km (2013) |
| Railways: | total: 3,689 km |
| Railways: | narrow gauge: 969 km 1.067-m gauge; 2,720 km 1.000-m gauge (2008) |
| Roadways: | total: 86,472 km |
| Roadways: | paved: 7,092 km |
| Roadways: | unpaved: 79,380 km (2010) |
| Waterways: | (Lake Tanganyika, Lake Victoria, and Lake Nyasa (Lake Malawi) are the principal avenues of commerce with neighboring countries; the rivers are not navigable) (2011) |
| Merchant marine: | total: 94 |
| Merchant marine: | by type: bulk carrier 6, cargo 66, carrier 4, chemical tanker 1, container 1, passenger/cargo 2, petroleum tanker 10, refrigerated cargo 1, roll on/roll off 3 |
| Merchant marine: | foreign-owned: 42 (Japan 1, Romania 1, Saudi Arabia 1, Syria 23, Turkey 13, UAE 3) |
| Merchant marine: | registered in other countries: 3 (Panama 2, UK 1) (2010) |
| Ports and terminals: | major seaport(s): Dar es Salaam, Zanzibar |
| Transportation - note: | the International Maritime Bureau reports that shipping in territorial and offshore waters in the Indian Ocean remain at risk for piracy and armed robbery against ships, especially as Somali-based pirates extend their activities south; numerous commercial vessels have been attacked and hijacked both at anchor and while underway; crews have been robbed and stores or cargoes stolen |
