| Transportation | Belize |
| --- | --- |
| Railways: | 0 km |
| Highways: | total: 2,880 km |
| Highways: | paved: 490 km |
| Highways: | unpaved: 2,390 km (1998 est.) |
| Waterways: | 825 km (river network used by shallow-draft craft; seasonally navigable) |
| Ports and harbors: | Belize City, Big Creek, Corozol, Punta Gorda |
| Merchant marine: | total: 315 ships (1,000 GRT or over) totaling 1,240,551 GRT/1,761,168 DWT |
| Merchant marine: | ships by type: bulk 26, cargo 204, chemical tanker 6, combination ore/oil 1, container 12, passenger/cargo 1, petroleum tanker 39, refrigerated cargo 15, roll on/roll off 8, short-sea passenger 1, specialized tanker 1, vehicle carrier 1 |
| Merchant marine: | note: includes some foreign-owned ships registered here as a flag of convenience: Albania 2, Belgium 3, British Virgin Islands 6, Cambodia 1, China 38, Cyprus 1, Ecuador 1, Egypt 1, Equatorial Guinea 1, Eritrea 1, Estonia 7, Germany 3, Greece 4, Grenada 1, Honduras 1, Hong Kong 20, Indonesia 6, Italy 2, Japan 4, Jordan 1, Lebanon 1, Liberia 5, Malaysia 3, Malta 2, Man, Isle of 1, Marshall Islands 13, Mexico 1, Netherlands 1, Nigeria 1, Panama 12, Philippines 4, Portugal 1, Romania 1, Russia 3, Saint Vincent and the Grenadines 3, Saudi Arabia 1, Singapore 22, South Korea 10, Spain 4, Switzerland 1, Taiwan 1, Thailand 6, Tunisia 1, Turkey 1, Ukraine 3, United Arab Emirates 9, United Kingdom 2, United States 4, Virgin Islands (UK) 6, Yemen 1 (2002 est.) |
| Airports: | 44 (2001) |
| Airports - with paved runways: | total: 4 |
| Airports - with paved runways: | 1,524 to 2,437 m: 1 |
| Airports - with paved runways: | 914 to 1,523 m: 1 |
| Airports - with paved runways: | under 914 m: 2 (2002) |
| Airports - with unpaved runways: | total: 38 |
| Airports - with unpaved runways: | 2,438 to 3,047 m: 1 |
| Airports - with unpaved runways: | 914 to 1,523 m: 10 |
| Airports - with unpaved runways: | under 914 m: 27 (2002) |
