| Transportation | Saint Helena, Ascension, and Tristan da Cunha |
| --- | --- |
| Civil aircraft registration country code prefix: | VQ-H (2016) |
| Airports: | 2 (2015) |
| Airports - with paved runways: | total: 2 (2019) |
| Airports - with paved runways: | over 3,047 m: 1 Ascension Island - Wideawake Field (ASI) |
| Airports - with paved runways: | 1,524 to 2,437 m: 1 Saint Helena (HLE); |
| Airports - with paved runways: | note - weekly commercial air service to South Africa via Namibia commenced on 14 October 2017 |
| Roadways: | total: 198 km (Saint Helena 138 km, Ascension 40 km, Tristan da Cunha 20 km) (2002) |
| Roadways: | paved: 168 km (Saint Helena 118 km, Ascension 40 km, Tristan da Cunha 10 km) (2002) |
| Roadways: | unpaved: 30 km (Saint Helena 20 km, Tristan da Cunha 10 km) (2002) |
| Ports and terminals: | major seaport(s): Saint Helena |
| Ports and terminals: | Saint Helena: Jamestown |
| Ports and terminals: | Ascension Island: Georgetown |
| Ports and terminals: | Tristan da Cunha: Calshot Harbor (Edinburgh) |
| Transportation - note: | the new airport on Saint Helena opened for limited operations in July 2016, and the first commercial flight took place on 14 October 2017, marking the start of weekly air service between Saint Helena and South Africa via Namibia; the military airport on Ascension Island is closed to civilian traffic; there is no air connection to Tristan da Cunha and very limited sea connections making it one of the most isolated communities on the planet |
