| Transportation | SAINT HELENA, ASCENSION, AND TRISTAN DA CUNHA |
| --- | --- |
| Civil aircraft registration country code prefix: | VQ-H (2016) |
| Airports: | 2 (2015) |
| Airports - with paved runways: | total: 2 |
| Airports - with paved runways: | over 3,047 m: 1 Ascension Island (Wideawake Field) |
| Airports - with paved runways: | 1,524 to 2,437 m: 1 Saint Helena; note - opened to limited operations in July 2016 (2016) |
| Roadways: | total: 198 km (Saint Helena 138 km, Ascension 40 km, Tristan da Cunha 20 km) |
| Roadways: | paved: 168 km (Saint Helena 118 km, Ascension 40 km, Tristan da Cunha 10 km) |
| Roadways: | unpaved: 30 km (Saint Helena 20 km, Tristan da Cunha 10 km) (2002) |
| Ports and terminals: | major seaport(s): |
| Ports and terminals: | Saint Helena: Jamestown |
| Ports and terminals: | Ascension Island: Georgetown |
| Ports and terminals: | Tristan da Cunha: Calshot Harbor (Edinburgh) |
| Transportation - note: | the new airport on Saint Helena opened for limited operations in July 2016 with the goal of providing regular commercial traffic via South Africa in the near term; the military airport on Ascension Island is closed to civilian traffic; there is no air connection to Tristan da Cunha and very limited sea connections making it one of the most isolated communities on the planet |
