| Transportation | Saint Helena, Ascension, and Tristan da Cunha |
| --- | --- |
| Airports: | 1 (Ascension Island) (2012) |
| Airports - with paved runways: | total: 1 |
| Airports - with paved runways: | over 3,047 m: 1 (2012) |
| Roadways: | total: 198 km (Saint Helena 138 km, Ascension 40 km, Tristan da Cunha 20 km) |
| Roadways: | paved: 168 km (Saint Helena 118 km, Ascension 40 km, Tristan da Cunha 10 km) |
| Roadways: | unpaved: 30 km (Saint Helena 20 km, Ascension 0 km, Tristan da Cunha 10 km) (2002) |
| Ports and terminals: | Saint Helena: Jamestown |
| Ports and terminals: | Ascension Island: Georgetown |
| Ports and terminals: | Tristan da Cunha: Calshot Harbor (Edinburgh) |
| Transportation - note: | there is no air connection to Saint Helena or Tristan da Cunha; construction on the new international airport for Saint Helena began in 2012 with an estimated completion date of late 2015 or early 2016; the new airport will have a runway of 1,550 m capable of handling B737/A319 size aircraft |
