| Transportation | Saint Helena, Ascension, and Tristan da Cunha |
| --- | --- |
| Airports: | 1 (2010) |
| Airports - with paved runways: | total: 1 |
| Airports - with paved runways: | over 3,047 m: 1 (2010) |
| Roadways: | total: 198 km (Saint Helena 138 km, Ascension 40 km, Tristan da Cunha 20 km) |
| Roadways: | paved: 168 km (Saint Helena 118 km, Ascension 40 km, Tristan da Cunha 10 km) |
| Roadways: | unpaved: 30 km (Saint Helena 20 km, Ascension 0 km, Tristan da Cunha 10 km) (2002) |
| Ports and terminals: | Saint Helena: Jamestown |
| Ports and terminals: | Ascension Island: Georgetown |
| Ports and terminals: | Tristan da Cunha: Calshot Harbor (Edinburgh) |
| Transportation - note: | there is no air connection to Saint Helena or Tristan da Cunha; following a pause in 2009, an international airport for Saint Helena continues in development with a goal of beginning construction in late 2011 or 2012 |
