| Transportation | Portugal |
| --- | --- |
| Railways: | total: 2,850 km |
| Railways: | broad gauge: 2,576 km 1.668-m gauge (623 km electrified; 426 km double-tracked) |
| Railways: | narrow gauge: 274 km 1.000-m gauge (2001) |
| Highways: | total: 68,732 km |
| Highways: | paved: 59,110 km (including 797 km of expressways) |
| Highways: | unpaved: 9,622 km (1999) |
| Waterways: | 820 km |
| Waterways: | note: relatively unimportant to national economy, used by shallow-draft craft limited to 300 metric-ton or less cargo capacity |
| Pipelines: | crude oil 22 km; petroleum products 58 km; natural gas 700 km |
| Pipelines: | note: the secondary lines for the natural gas pipeline that will be 300 km long have not yet been built |
| Ports and harbors: | Aveiro, Funchal (Madeira Islands), Horta (Azores), Leixoes, Lisbon, Porto, Ponta Delgada (Azores), Praia da Vitoria (Azores), Setubal, Viana do Castelo |
| Merchant marine: | total: 140 ships (1,000 GRT or over) totaling 1,001,440 GRT/1,519,701 DWT |
| Merchant marine: | ships by type: bulk 10, cargo 71, chemical tanker 17, container 10, liquefied gas 8, multi-functional large-load carrier 1, petroleum tanker 10, refrigerated cargo 1, roll on/roll off 6, short-sea passenger 4, vehicle carrier 2 |
| Merchant marine: | note: includes some foreign-owned ships registered here as a flag of convenience: Belgium 1, British Virgin Islands 1, Cyprus 1, Denmark 6, Germany 20, Greece 1, Iceland 1, Italy 16, Lebanon 1, Liberia 1, Monaco 2, Norway 5, Panama 5, Spain 22, Switzerland 8, United Kingdom 1, Virgin Islands (UK) 1 (2002 est.) |
| Airports: | 67 (2001) |
| Airports - with paved runways: | total: 40 |
| Airports - with paved runways: | over 3,047 m: 5 |
| Airports - with paved runways: | 2,438 to 3,047 m: 9 |
| Airports - with paved runways: | 1,524 to 2,437 m: 4 |
| Airports - with paved runways: | 914 to 1,523 m: 15 |
| Airports - with paved runways: | under 914 m: 7 (2002) |
| Airports - with unpaved runways: | total: 26 |
| Airports - with unpaved runways: | 914 to 1,523 m: 1 |
| Airports - with unpaved runways: | under 914 m: 25 (2002) |
