| Transportation |   |
| --- | --- |
| Railways: | total: 40 km (single track; privately owned industrial line) - closed in early 1990s |
| Railways: | narrow gauge: 40 km 0.760-m gauge |
| Highways: | total: 4,160 km |
| Highways: | paved: 1,011 km |
| Highways: | unpaved: 3,149 km (1996 est.) |
| Waterways: | NEGL; less than 100 km navigable |
| Ports and harbors: | Cap-Haitien, Gonaives, Jacmel, Jeremie, Les Cayes, Miragoane, Port-au-Prince, Port-de-Paix, Saint-Marc |
| Merchant marine: | none (1999 est.) |
| Airports: | 13 (1999 est.) |
| Airports - with paved runways: | total: 3 |
| Airports - with paved runways: | 2,438 to 3,047 m: 1 |
| Airports - with paved runways: | 1,524 to 2,437 m: 1 |
| Airports - with paved runways: | 914 to 1,523 m: 1 (1999 est.) |
| Airports - with unpaved runways: | total: 10 |
| Airports - with unpaved runways: | 914 to 1,523 m: 5 |
| Airports - with unpaved runways: | under 914 m: 5 (1999 est.) |
