| Transportation | Faroe Islands |
| --- | --- |
| National air transport system: | number of registered air carriers: 1 (registered in Denmark) (2015) |
| National air transport system: | inventory of registered aircraft operated by air carriers: 3 (registered in Denmark) (2015) |
| Civil aircraft registration country code prefix: | OY-H (2016) |
| Airports: | 1 (2013) |
| Airports - with paved runways: | total: 1 (2019) |
| Airports - with paved runways: | 1,524 to 2,437 m: 1 |
| Railways: | Roadways: |
| Railways: | total: 960 km (2017) |
| Railways: | paved: 500 km (2017) |
| Railways: | unpaved: 460 km (2017) |
| Railways: | note: those islands not connected by roads (bridges or tunnels) are connected by seven different ferry links operated by the nationally owned company SSL; 28 km of tunnels |
| Merchant marine: | total: 100 |
| Merchant marine: | by type: container ship 3, general cargo 42, oil tanker 1, other 54 (2018) |
| Ports and terminals: | major seaport(s): Fuglafjordur, Torshavn, Vagur |
