| Transportation | Vietnam |
| --- | --- |
| Airports: | 44 (2010) |
| Airports - with paved runways: | total: 37 |
| Airports - with paved runways: | over 3,047 m: 9 |
| Airports - with paved runways: | 2,438 to 3,047 m: 5 |
| Airports - with paved runways: | 1,524 to 2,437 m: 14 |
| Airports - with paved runways: | 914 to 1,523 m: 9 (2010) |
| Airports - with unpaved runways: | total: 7 |
| Airports - with unpaved runways: | 1,524 to 2,437 m: 1 |
| Airports - with unpaved runways: | 914 to 1,523 m: 3 |
| Airports - with unpaved runways: | under 914 m: 3 (2010) |
| Heliports: | 1 (2010) |
| Pipelines: | condensate 28 km; condensate/gas 10 km; gas 216 km; refined products 206 km (2010) |
| Railways: | total: 2,347 km |
| Railways: | standard gauge: 178 km 1.435-m gauge |
| Railways: | narrow gauge: 2,169 km 1.000-m gauge (2010) |
| Roadways: | total: 171,392 km |
| Roadways: | paved: 125,789 km |
| Roadways: | unpaved: 45,603 km (2008) |
| Waterways: | 17,702 km (5,000 km are navigable by vessels up to 1.8 m draft) (2011) |
| Merchant marine: | total: 537 |
| Merchant marine: | by type: barge carrier 1, bulk carrier 103, cargo 330, chemical tanker 24, container 20, liquefied gas 7, passenger 1, passenger/cargo 1, petroleum tanker 46, refrigerated cargo 2, roll on/roll off 1, specialized tanker 1 |
| Merchant marine: | registered in other countries: 84 (Cambodia 1, Honduras 1, Liberia 3, Mongolia 34, Panama 37, Taiwan 1, Tuvalu 6, unknown 1) (2010) |
| Ports and terminals: | Cam Pha Port, Da Nang, Hai Phong, Ho Chi Minh City, Phu My, Quy Nhon |
| Transportation - note: | the International Maritime Bureau reports the territorial and offshore waters in the South China Sea as high risk for piracy and armed robbery against ships; numerous commercial vessels have been attacked and hijacked both at anchor and while underway; hijacked vessels are often disguised and cargo diverted to ports in East Asia; crews have been murdered or cast adrift |
