| Transportation | Benin |
| --- | --- |
| National air transport system: | number of registered air carriers: 1 (2015) |
| National air transport system: | inventory of registered aircraft operated by air carriers: 1 (2015) |
| National air transport system: | annual passenger traffic on registered air carriers: 112,392 (2015) |
| National air transport system: | annual freight traffic on registered air carriers: 805,347 mt-km (2015) |
| Civil aircraft registration country code prefix: | TY (2016) |
| Airports: | 6 (2013) |
| Airports - with paved runways: | total: 1 (2017) |
| Airports - with paved runways: | 1,524 to 2,437 m: 1 (2017) |
| Airports - with unpaved runways: | total: 5 (2013) |
| Airports - with unpaved runways: | 2,438 to 3,047 m: 2 (2013) |
| Airports - with unpaved runways: | 1,524 to 2,437 m: 1 (2013) |
| Airports - with unpaved runways: | 914 to 1,523 m: 2 (2013) |
| Pipelines: | 134 km gas |
| Railways: | total: 438 km (2014) |
| Railways: | narrow gauge: 438 km 1.000-m gauge (2014) |
| Roadways: | total: 16,000 km (2006) |
| Roadways: | paved: 1,400 km (2006) |
| Roadways: | unpaved: 14,600 km (2006) |
| Waterways: | 150 km (seasonal navigation on River Niger along northern border) (2011) |
| Merchant marine: | total: 6 (2017) |
| Merchant marine: | by type: other 6 (2017) |
| Ports and terminals: | major seaport(s): Cotonou |
| Ports and terminals: | LNG terminal(s) (import): Cotonou |
