| Transportation | Tanzania |
| --- | --- |
| Airports: | 124 (2010) |
| Airports - with paved runways: | total: 9 |
| Airports - with paved runways: | over 3,047 m: 2 |
| Airports - with paved runways: | 2,438 to 3,047 m: 2 |
| Airports - with paved runways: | 1,524 to 2,437 m: 4 |
| Airports - with paved runways: | 914 to 1,523 m: 1 (2010) |
| Airports - with unpaved runways: | total: 115 |
| Airports - with unpaved runways: | 1,524 to 2,437 m: 19 |
| Airports - with unpaved runways: | 914 to 1,523 m: 63 |
| Airports - with unpaved runways: | under 914 m: 33 (2010) |
| Pipelines: | gas 254 km; oil 888 km; refined products 8 km (2010) |
| Railways: | total: 3,689 km |
| Railways: | narrow gauge: 969 km 1.067-m gauge; 2,720 km 1.000-m gauge (2010) |
| Roadways: | total: 91,049 km |
| Roadways: | paved: 6,578 km |
| Roadways: | unpaved: 84,471 km (2010) |
| Waterways: | (Lake Tanganyika, Lake Victoria, and Lake Nyasa (Lake Malawi) are the principal avenues of commerce with neighboring countries; the rivers are not navigable) (2009) |
| Merchant marine: | total: 72 |
| Merchant marine: | by type: bulk carrier 4, cargo 43, carrier 4, chemical tanker 2, container 1, passenger 1, passenger/cargo 2, petroleum tanker 15 |
| Merchant marine: | foreign-owned: 25 (Greece 1, Romania 1, Saudi Arabia 1, Syria 13, Turkey 7, UAE 1, United States 1) |
| Merchant marine: | registered in other countries: 3 (Honduras 1, Panama 2) (2010) |
| Ports and terminals: | Dar es Salaam, Zanzibar |
| Transportation - note: | the International Maritime Bureau reports that shipping in territorial and offshore waters in the Indian Ocean remain at risk for piracy and armed robbery against ships, especially as Somali-based pirates extend their activities south; numerous commercial vessels have been attacked and hijacked both at anchor and while underway; crews have been robbed and stores or cargoes stolen |
