| Transportation | Georgia |
| --- | --- |
| Railways: | total: 1,583 km in common carrier service; does not include industrial lines |
| Railways: | broad gauge: 1,546 km 1.520-m gauge |
| Railways: | narrow gauge: 37 km 0.912-m gauge (2000 est.) |
| Highways: | total: 33,900 km |
| Highways: | paved: 29,500 km (includes some all-weather gravel-surfaced roads) |
| Highways: | unpaved: 4,400 km (these roads are made of unstabilized earth and are difficult to negotiate in wet weather) (1990) |
| Waterways: | none |
| Pipelines: | crude oil 370 km; refined products 300 km; natural gas 440 km (1992) |
| Ports and harbors: | Bat'umi, P'ot'i, Sokhumi |
| Merchant marine: | total: 64 ships (1,000 GRT or over) totaling 210,620 GRT/288,565 DWT |
| Merchant marine: | ships by type: bulk 5, cargo 46, container 5, petroleum tanker 7, roll on/roll off 1 |
| Merchant marine: | note: includes some foreign-owned ships registered here as a flag of convenience: Belize 1, Bulgaria 1, Cyprus 1, Ecuador 1, Egypt 4, Gibraltar 1, Greece 5, Jordan 1, Latvia 1, Liberia 1, Malta 1, Panama 9, Romania 8, Russia 4, Saint Kitts and Nevis 3, Saint Vincent and the Grenadines 3, Saudi Arabia 2, Syria 5, Turkey 2, Ukraine 7, United Arab Emirates 11, United Kingdom 1, United States 1 (2002 est.) |
| Airports: | 31 (2001) |
| Airports - with paved runways: | total: 16 |
| Airports - with paved runways: | over 3,047 m: 1 |
| Airports - with paved runways: | 2,438 to 3,047 m: 8 |
| Airports - with paved runways: | 914 to 1,523 m: 2 |
| Airports - with paved runways: | under 914 m: 3 (2002) |
| Airports - with paved runways: | 1,524 to 2,437 m: 2 |
| Airports - with unpaved runways: | total: 15 |
| Airports - with unpaved runways: | 2,438 to 3,047 m: 1 |
| Airports - with unpaved runways: | 1,524 to 2,437 m: 4 |
| Airports - with unpaved runways: | under 914 m: 6 (2002) |
| Airports - with unpaved runways: | 914 to 1,523 m: 4 |
| Transportation - note: | transportation network is in poor condition resulting from ethnic conflict, criminal activities, and fuel shortages; network lacks maintenance and repair |
