| Transportation | Paraguay |
| --- | --- |
| Airports: | 838 (2007) |
| Airports - with paved runways: | total: 13 |
| Airports - with paved runways: | over 3,047 m: 3 |
| Airports - with paved runways: | 1,524 to 2,437 m: 5 |
| Airports - with paved runways: | 914 to 1,523 m: 5 (2007) |
| Airports - with unpaved runways: | total: 825 |
| Airports - with unpaved runways: | 1,524 to 2,437 m: 26 |
| Airports - with unpaved runways: | 914 to 1,523 m: 267 |
| Airports - with unpaved runways: | under 914 m: 532 (2007) |
| Railways: | total: 36 km |
| Railways: | standard gauge: 36 km 1.435-m gauge (2006) |
| Roadways: | total: 29,500 km |
| Roadways: | paved: 14,986 km |
| Roadways: | unpaved: 14,514 km (1999) |
| Waterways: | 3,100 km (2007) |
| Merchant marine: | total: 22 ships (1000 GRT or over) 39,693 GRT/43,530 DWT |
| Merchant marine: | by type: cargo 16, container 1, livestock carrier 1, passenger 1, petroleum tanker 2, roll on/roll off 1 |
| Merchant marine: | foreign-owned: 5 (Argentina 3, Netherlands 1, Switzerland 1) (2007) |
| Ports and terminals: | Asuncion, Villeta, San Antonio, Encarnacion |
