| Transportation | Seychelles |
| --- | --- |
| Highways: | total: 373 km |
| Highways: | paved: 315 km |
| Highways: | unpaved: 58 km (1997 est.) |
| Ports and harbors: | Victoria |
| Merchant marine: | total: 8 ships (1,000 GRT or over) 42,223 GRT/63,538 DWT |
| Merchant marine: | foreign-owned: Bulgaria 1, Cyprus 1, Nigeria 1, South Africa 2 (2004 est.) |
| Merchant marine: | by type: cargo 4, chemical tanker 3, container 1 |
| Airports: | 15 (2003 est.) |
| Airports - with paved runways: | total: 8 |
| Airports - with paved runways: | 2,438 to 3,047 m: 1 |
| Airports - with paved runways: | 914 to 1,523 m: 4 |
| Airports - with paved runways: | under 914 m: 3 (2004 est.) |
| Airports - with unpaved runways: | total: 7 |
| Airports - with unpaved runways: | 914 to 1,523 m: 3 |
| Airports - with unpaved runways: | under 914 m: 4 (2004 est.) |
