| Transportation | Gabon |
| --- | --- |
| National air transport system: | number of registered air carriers: 3 (2020) |
| National air transport system: | inventory of registered aircraft operated by air carriers: 8 |
| Civil aircraft registration country code prefix: | TR (2016) |
| Airports: | 44 (2013) |
| Airports - with paved runways: | total: 14 (2019) |
| Airports - with paved runways: | over 3,047 m: 1 |
| Airports - with paved runways: | 2,438 to 3,047 m: 2 |
| Airports - with paved runways: | 1,524 to 2,437 m: 9 |
| Airports - with paved runways: | 914 to 1,523 m: 1 |
| Airports - with paved runways: | under 914 m: 1 |
| Airports - with unpaved runways: | total: 30 (2013) |
| Airports - with unpaved runways: | 1,524 to 2,437 m: 7 (2013) |
| Airports - with unpaved runways: | 914 to 1,523 m: 9 (2013) |
| Airports - with unpaved runways: | under 914 m: 14 (2013) |
| Pipelines: | 807 km gas, 1639 km oil, 3 km water (2013) |
| Railways: | total: 649 km (2014) |
| Railways: | standard gauge: 649 km 1.435-m gauge (2014) |
| Roadways: | total: 14,300 km (2001) |
| Roadways: | paved: 900 km (2001) |
| Roadways: | unpaved: 13,400 km (2001) |
| Waterways: | 1,600 km (310 km on Ogooue River) (2010) |
| Merchant marine: | total: 28 |
| Merchant marine: | by type: general cargo 9, oil tanker 1, other 18 (2019) |
| Ports and terminals: | major seaport(s): Libreville, Owendo, Port-Gentil |
| Ports and terminals: | oil terminal(s): Gamba, Lucina |
