| Transportation | UZBEKISTAN |
| --- | --- |
| Airports: | 53 (2013) |
| Airports - with paved runways: | total: 33 |
| Airports - with paved runways: | over 3,047 m: 6 |
| Airports - with paved runways: | 2,438 to 3,047 m: 13 |
| Airports - with paved runways: | 1,524 to 2,437 m: 6 |
| Airports - with paved runways: | 914 to 1,523 m: 4 |
| Airports - with paved runways: | under 914 m: 4 (2013) |
| Airports - with unpaved runways: | total: 20 |
| Airports - with unpaved runways: | 2,438 to 3,047 m: 2 |
| under 914 m: | 18 (2013) |
| Pipelines: | gas 10,401 km; oil 944 km (2013) |
| Railways: | total: 3,645 km |
| Railways: | broad gauge: 3,645 km 1.520-m gauge (620 km electrified) (2014) |
| Roadways: | total: 86,496 km |
| Roadways: | paved: 75,511 km |
| Roadways: | unpaved: 10,985 km (2000) |
| Waterways: | 1,100 km (2012) |
| Ports and terminals: | river port(s): Termiz (Amu Darya) |
