| Transportation | British Virgin Islands |
| --- | --- |
| Highways: | total: 177 km |
| Highways: | paved: 177 km |
| Highways: | unpaved: 0 km (2000) |
| Ports and harbors: | Road Town |
| Merchant marine: | total: 1 ships (1,000 GRT or over) 83,825 GRT/155,909 DWT |
| Merchant marine: | by type: cargo 1 |
| Merchant marine: | registered in other countries: 7 (2005) |
| Airports: | 3 (2004 est.) |
| Airports - with paved runways: | total: 2 |
| Airports - with paved runways: | 914 to 1,523 m: 1 |
| Airports - with paved runways: | under 914 m: 1 (2004 est.) |
| Airports - with unpaved runways: | total: 1 |
| Airports - with unpaved runways: | 914 to 1,523 m: 1 (2004 est.) |
