| Transportation | Papua New Guinea |
| --- | --- |
| Airports: | 561 (2013) |
| Airports - with paved runways: | total: 21 |
| Airports - with paved runways: | over 3,047 m: 1 |
| Airports - with paved runways: | 2,438 to 3,047 m: 2 |
| Airports - with paved runways: | 1,524 to 2,437 m: 12 |
| Airports - with paved runways: | 914 to 1,523 m: 5 |
| Airports - with paved runways: | under 914 m: 1 (2013) |
| Airports - with unpaved runways: | total: 540 |
| Airports - with unpaved runways: | 1,524 to 2,437 m: 11 |
| Airports - with unpaved runways: | 914 to 1,523 m: 53 |
| under 914 m: | 476 (2013) |
| Heliports: | 2 (2013) |
| Pipelines: | oil 264 km (2013) |
| Roadways: | total: 9,349 km |
| Roadways: | paved: 3,000 km |
| Roadways: | unpaved: 6,349 km (2011) |
| Waterways: | 11,000 km (2011) |
| Merchant marine: | total: 31 |
| Merchant marine: | by type: bulk carrier 7, cargo 22, petroleum tanker 2 |
| Merchant marine: | foreign-owned: 8 (Germany 1, Malaysia 1, UAE 6) (2010) |
| Ports and terminals: | Kimbe, Lae, Madang, Rabaul, Wewak |
