| Transportation | NIGERIA |
| --- | --- |
| National air transport system: | number of registered air carriers: 16 |
| National air transport system: | inventory of registered aircraft operated by air carriers: 73 |
| National air transport system: | annual passenger traffic on registered air carriers: 3,223,459 |
| National air transport system: | annual freight traffic on registered air carriers: 22,400,657 mt-km (2015) |
| Civil aircraft registration country code prefix: | 5N (2016) |
| Airports: | 54 (2013) |
| Airports - with paved runways: | total: 40 |
| Airports - with paved runways: | over 3,047 m: 10 |
| Airports - with paved runways: | 2,438 to 3,047 m: 12 |
| Airports - with paved runways: | 1,524 to 2,437 m: 9 |
| Airports - with paved runways: | 914 to 1,523 m: 6 |
| Airports - with paved runways: | under 914 m: 3 (2013) |
| Airports - with unpaved runways: | total: 14 |
| Airports - with unpaved runways: | 1,524 to 2,437 m: 2 |
| Airports - with unpaved runways: | 914 to 1,523 m: 9 |
| Airports - with unpaved runways: | under 914 m: 3 (2013) |
| Heliports: | 5 (2013) |
| Pipelines: | condensate 124 km; gas 4,045 km; liquid petroleum gas 164 km; oil 4,441 km; refined products 3,940 km (2013) |
| Railways: | total: 3,798 km |
| Railways: | standard gauge: 293 km 1.435-m gauge |
| Railways: | narrow gauge: 3,505 km 1.067-m gauge (2014) |
| Roadways: | total: 193,200 km |
| Roadways: | paved: 28,980 km |
| Roadways: | unpaved: 164,220 km (2004) |
| Waterways: | 8,600 km (Niger and Benue Rivers and smaller rivers and creeks) (2011) |
| Merchant marine: | total: 89 |
| Merchant marine: | by type: cargo 2, chemical tanker 28, liquefied gas 1, passenger/cargo 1, petroleum tanker 56, specialized tanker 1 |
| Merchant marine: | foreign-owned: 3 (India 1, UK 2) |
| Merchant marine: | registered in other countries: 33 (Bahamas 2, Bermuda 11, Comoros 1, Italy 1, Liberia 4, North Korea 1, Panama 6, Seychelles 1, unknown 6) (2010) |
| Ports and terminals: | major seaport(s): Bonny Inshore Terminal, Calabar, Lagos |
| Ports and terminals: | LNG terminal(s) (export): Bonny Island |
| Transportation - note: | the International Maritime Bureau reports the territorial and offshore waters in the Niger Delta and Gulf of Guinea as high risk for piracy and armed robbery of ships; in 2014, 18 commercial vessels were boarded or attacked compared with 31 attacks in 2013; crews were robbed and stores or cargoes stolen; Nigerian pirates have extended the range of their attacks to as far away as Cote d'Ivoire |
