| Transportation | Fiji |
| --- | --- |
| Railways: | total: 597 km |
| Railways: | narrow gauge: 597 km 0.600-m gauge |
| Railways: | note: belongs to the government-owned Fiji Sugar Corporation; used to haul sugarcane during harvest season (May to September) (2002) |
| Highways: | total: 3,440 km |
| Highways: | paved: 1,692 km |
| Highways: | unpaved: 1,748 km (1999 est.) |
| Waterways: | 203 km |
| Waterways: | note: 122 km navigable by motorized craft and 200-metric-ton barges |
| Ports and harbors: | Lambasa, Lautoka, Levuka, Malau, Savusavu, Suva, Vuda |
| Merchant marine: | total: 6 ships (1,000 GRT or over) 11,870 GRT/14,787 DWT |
| Merchant marine: | note: includes some foreign-owned ships registered here as a flag of convenience: Australia 1, Singapore 4 (2002 est.) |
| Merchant marine: | ships by type: chemical tanker 2, passenger 1, petroleum tanker 1, roll on/roll off 1, specialized tanker 1 |
| Airports: | 27 (2002) |
| Airports - with paved runways: | total: 3 |
| Airports - with paved runways: | over 3,047 m: 1 |
| Airports - with paved runways: | 1,524 to 2,437 m: 1 |
| Airports - with paved runways: | 914 to 1,523 m: 1 (2002) |
| Airports - with unpaved runways: | total: 24 |
| Airports - with unpaved runways: | 914 to 1,523 m: 6 |
| Airports - with unpaved runways: | under 914 m: 18 (2002) |
