| Transportation | Antigua and Barbuda |
| --- | --- |
| Railways: | total: 77 km |
| Railways: | narrow gauge: 64 km 0.760-m gauge; 13 km 0.610-m gauge (used almost exclusively for handling sugarcane) (2001 est.) |
| Highways: | total: 1,165 km |
| Highways: | paved: 384 km |
| Highways: | unpaved: 781 km |
| Highways: | note: it is assumed that the main roads are paved; the secondary roads are assumed to be unpaved (1995) |
| Waterways: | none |
| Ports and harbors: | Saint John's |
| Merchant marine: | total: 762 ships (1,000 GRT or over) totaling 4,541,940 GRT/5,894,553 DWT |
| Merchant marine: | ships by type: bulk 20, cargo 469, chemical tanker 9, combination bulk 4, container 202, liquefied gas 7, multi-functional large-load carrier 6, petroleum tanker 1, refrigerated cargo 9, roll on/roll off 35 |
| Merchant marine: | note: includes some foreign-owned ships registered here as a flag of convenience: Australia 1, Bangladesh 2, Belgium 3, Colombia 1, Cuba 1, Estonia 1, Germany 747, Greece 1, Iceland 8, Latvia 1, Lebanon 2, Lithuania 1, Netherlands 22, New Zealand 2, Portugal 1, Slovenia 6, South Africa 1, Sweden 2, United Kingdom 1, United States 7 (2002 est.) |
| Airports: | 3 (2001) |
| Airports - with paved runways: | total: 2 |
| Airports - with paved runways: | 2,438 to 3,047 m: 1 |
| Airports - with paved runways: | under 914 m: 1 (2002) |
| Airports - with unpaved runways: | total: 1 |
| Airports - with unpaved runways: | under 914 m: 1 (2002) |
