| Transportation | UGANDA |
| --- | --- |
| National air transport system: | number of registered air carriers: 1 |
| National air transport system: | inventory of registered aircraft operated by air carriers: 1 |
| National air transport system: | annual passenger traffic on registered air carriers: 41,812 |
| National air transport system: | annual freight traffic on registered air carriers: 23,472 mt-km (2015) |
| Civil aircraft registration country code prefix: | 5X (2016) |
| Airports: | 47 (2013) |
| Airports - with paved runways: | total: 5 |
| Airports - with paved runways: | over 3,047 m: 3 |
| Airports - with paved runways: | 1,524 to 2,437 m: 1 |
| Airports - with paved runways: | 914 to 1,523 m: 1 (2013) |
| Airports - with unpaved runways: | total: 42 |
| Airports - with unpaved runways: | over 3,047 m: 1 |
| Airports - with unpaved runways: | 1,524 to 2,437 m: 8 |
| Airports - with unpaved runways: | 914 to 1,523 m: 26 |
| Airports - with unpaved runways: | under 914 m: 7 (2013) |
| Railways: | total: 1,244 km |
| Railways: | narrow gauge: 1,244 km 1.000-m gauge (2014) |
| Roadways: | total: 20,000 km (excludes local roads) |
| Roadways: | paved: 3,264 km |
| Roadways: | unpaved: 16,736 km (2011) |
| Waterways: | (there are no long navigable stretches of river in Uganda; parts of the Albert Nile that flow out of Lake Albert in the northwestern part of the country are navigable; several lakes including Lake Victoria and Lake Kyoga have substantial traffic; Lake Albert is navigable along a 200-km stretch from its northern tip to its southern shores) (2011) |
| Ports and terminals: | lake port(s): Entebbe, Jinja, Port Bell (Lake Victoria) |
