| Transportation | Uganda |
| --- | --- |
| Railways: | total: 1,241 km |
| Railways: | narrow gauge: 1,241 km 1.000-m gauge (2002) |
| Highways: | total: 27,000 km |
| Highways: | paved: 1,809 km |
| Highways: | unpaved: 25,191 km (1999 est.) |
| Waterways: | Lake Victoria, Lake Albert, Lake Kyoga, Lake George, Lake Edward, Victoria Nile, Albert Nile |
| Ports and harbors: | Entebbe, Jinja, Port Bell |
| Merchant marine: | total: 3 ships (1,000 GRT or over) 5,091 GRT/8,229 DWT |
| Merchant marine: | ships by type: roll on/roll off 3 |
| Merchant marine: | note: these ships are in cargo and passenger (ferry) service on Uganda's inland waterways (2002 est.) |
| Airports: | 27 (2002) |
| Airports - with paved runways: | total: 4 |
| Airports - with paved runways: | over 3,047 m: 3 |
| Airports - with paved runways: | 1,524 to 2,437 m: 1 (2002) |
| Airports - with unpaved runways: | total: 23 |
| Airports - with unpaved runways: | 2,438 to 3,047 m: 1 |
| Airports - with unpaved runways: | 1,524 to 2,437 m: 6 |
| Airports - with unpaved runways: | 914 to 1,523 m: 9 |
| Airports - with unpaved runways: | under 914 m: 7 (2002) |
