| Transportation | Guadeloupe |
| --- | --- |
| Railways: | total: NA km; privately owned, narrow-gauge plantation lines |
| Highways: | total: 2,560 km |
| Highways: | paved: 965 km |
| Highways: | unpaved: 1,595 km (1996) |
| Waterways: | none |
| Ports and harbors: | Basse-Terre, Gustavia (on Saint Barthelemy), Marigot, Pointe-a-Pitre |
| Merchant marine: | total: 1 ship (1,000 GRT or over) totaling 1,240 GRT/109 DWT |
| Merchant marine: | ships by type: passenger 1 |
| Merchant marine: | note: includes a foreign-owned ship registered here as a flag of convenience: France 1 (2002 est.) |
| Airports: | 9 (2001) |
| Airports - with paved runways: | total: 8 |
| Airports - with paved runways: | over 3,047 m: 1 |
| Airports - with paved runways: | 914 to 1,523 m: 2 |
| Airports - with paved runways: | under 914 m: 5 (2002) |
| Airports - with unpaved runways: | total: 1 1 |
| Airports - with unpaved runways: | under 914 m: 1 (2002) |
