| Transportation | Costa Rica |
| --- | --- |
| Airports: | 151 (2010) |
| Airports - with paved runways: | total: 39 |
| Airports - with paved runways: | 2,438 to 3,047 m: 2 |
| Airports - with paved runways: | 1,524 to 2,437 m: 2 |
| Airports - with paved runways: | 914 to 1,523 m: 23 |
| Airports - with paved runways: | under 914 m: 12 (2010) |
| Airports - with unpaved runways: | total: 112 |
| Airports - with unpaved runways: | 914 to 1,523 m: 18 |
| Airports - with unpaved runways: | under 914 m: 94 (2010) |
| Pipelines: | refined products 796 km (2009) |
| Railways: | total: 278 km |
| Railways: | narrow gauge: 278 km 1.067-m gauge |
| Railways: | note: none of the railway network is in use (2008) |
| Roadways: | total: 35,330 km |
| Roadways: | paved: 8,621 km |
| Roadways: | unpaved: 26,709 km (2004) |
| Waterways: | 730 km (seasonally navigable by small craft) (2010) |
| Merchant marine: | total: 1 |
| Merchant marine: | by type: passenger/cargo 1 (2010) |
| Ports and terminals: | Caldera, Puerto Limon |
