| Transportation | Burma |
| --- | --- |
| Airports: | 86 (2007) |
| Airports - with paved runways: | total: 25 |
| Airports - with paved runways: | over 3,047 m: 8 |
| Airports - with paved runways: | 2,438 to 3,047 m: 10 |
| Airports - with paved runways: | 1,524 to 2,437 m: 5 |
| Airports - with paved runways: | 914 to 1,523 m: 1 |
| Airports - with paved runways: | under 914 m: 1 (2007) |
| Airports - with unpaved runways: | total: 61 |
| Airports - with unpaved runways: | over 3,047 m: 1 |
| Airports - with unpaved runways: | 1,524 to 2,437 m: 14 |
| Airports - with unpaved runways: | 914 to 1,523 m: 14 |
| Airports - with unpaved runways: | under 914 m: 32 (2007) |
| Heliports: | 4 (2007) |
| Pipelines: | gas 2,224 km; oil 558 km (2006) |
| Railways: | total: 3,955 km |
| Railways: | narrow gauge: 3,955 km 1.000-m gauge (2006) |
| Roadways: | total: 27,000 km |
| Roadways: | paved: 3,200 km |
| Roadways: | unpaved: 23,800 km (2005) |
| Waterways: | 12,800 km (2007) |
| Merchant marine: | total: 33 ships (1000 GRT or over) 364,447 GRT/549,310 DWT |
| Merchant marine: | by type: bulk carrier 7, cargo 20, passenger 2, passenger/cargo 3, specialized tanker 1 |
| Merchant marine: | foreign-owned: 8 (Germany 5, Japan 3) (2007) |
| Ports and terminals: | Moulmein, Rangoon, Sittwe |
