| Transportation | Morocco |
| --- | --- |
| Airports: | 58 (2009) |
| Airports - with paved runways: | total: 32 |
| Airports - with paved runways: | over 3,047 m: 11 |
| Airports - with paved runways: | 2,438 to 3,047 m: 7 |
| Airports - with paved runways: | 1,524 to 2,437 m: 10 |
| Airports - with paved runways: | 914 to 1,523 m: 4 (2009) |
| Airports - with unpaved runways: | total: 26 |
| Airports - with unpaved runways: | 2,438 to 3,047 m: 1 |
| Airports - with unpaved runways: | 1,524 to 2,437 m: 7 |
| Airports - with unpaved runways: | 914 to 1,523 m: 10 |
| Airports - with unpaved runways: | under 914 m: 8 (2009) |
| Heliports: | 1 (2009) |
| Pipelines: | gas 830 km; oil 439 km (2008) |
| Railways: | total: 1,907 km |
| Railways: | standard gauge: 1,907 km 1.435-m gauge (1,022 km electrified) (2008) |
| Roadways: | total: 57,625 km |
| Roadways: | paved: 35,664 km (includes 639 km of expressways) |
| Roadways: | unpaved: 21,961 km (2006) |
| Merchant marine: | total: 35 |
| Merchant marine: | by type: cargo 3, chemical tanker 6, container 8, passenger/cargo 13, petroleum tanker 1, roll on/roll off 4 |
| Merchant marine: | foreign-owned: 16 (France 14, Germany 2) |
| Merchant marine: | registered in other countries: 4 (Gibraltar 4) (2008) |
| Ports and terminals: | Agadir, Casablanca, Mohammedia, Safi |
