| Transportation | United States Pacific Island Wildlife Refuges |
| --- | --- |
| Airports: | Baker Island: one abandoned World War II runway of 1,665 m covered with vegetation and unusable (2013) |
| Airports: | Howland Island: airstrip constructed in 1937 for scheduled refueling stop on the round-the-world flight of Amelia EARHART and Fred NOONAN; the aviators left Lae, New Guinea, for Howland Island but were never seen again; the airstrip is no longer serviceable (2013) |
| Airports: | Johnston Atoll: one closed and not maintained (2013) |
| Airports: | Kingman Reef: lagoon was used as a halfway station between Hawaii and American Samoa by Pan American Airways for flying boats in 1937 and 1938 (2013) |
| Airports: | Midway Islands: 3 - one operational (2,377 m paved); no fuel for sale except emergencies (2013) |
| Airports: | Palmyra Atoll: 1 - 1,846 m unpaved runway; privately owned (2013) |
| Airports - with paved runways: | 2,438 to 3,047 m: 1 - Johnston Atoll; (2016) |
| Airports - with paved runways: | note - abandoned but usable |
| Airports - with unpaved runways: | 1 - Palmyra Atoll (2016) |
| Roadways: | Ports and terminals: |
| Roadways: | major seaport(s): Baker, Howland, and Jarvis Islands, and Kingman Reef |
| Roadways: | Baker, Howland, and Jarvis Islands, and Kingman Reef: none; offshore anchorage only |
| Roadways: | Johnston Atoll: Johnston Island |
| Roadways: | Midway Islands: Sand Island |
| Roadways: | Palmyra Atoll: West Lagoon |
