| Transportation | United States Pacific Island Wildlife Refuges |
| --- | --- |
| Airports: | Baker Island: one abandoned World War II runway of 1,665 m covered with vegetation and unusable |
| Airports: | Howland Island: airstrip constructed in 1937 for scheduled refueling stop on the round-the-world flight of Amelia EARHART and Fred NOONAN; the aviators left Lae, New Guinea, for Howland Island but were never seen again; the airstrip is no longer serviceable |
| Airports: | Johnston Atoll: 1 - closed and not maintained |
| Airports: | Kingman Reef: lagoon was used as a halfway station between Hawaii and American Samoa by Pan American Airways for flying boats in 1937 and 1938 |
| Airports: | Midway Islands: 3 - one operational (2,409 m paved); no fuel for sale except emergencies |
| Airports: | Palmyra Atoll: 1 - 1,846 m unpaved runway; privately owned (2006) |
| Ports and terminals: | Baker, Howland, and Jarvis Islands, and Kingman Reef: none; offshore anchorage only |
| Ports and terminals: | Johnston Atoll: Johnston Island |
| Ports and terminals: | Midway Islands: Sand Island |
| Ports and terminals: | Palmyra Atoll: West Lagoon |
