| Transportation | Senegal |
| --- | --- |
| Airports: | 19 (2009) |
| Airports - with paved runways: | total: 10 |
| Airports - with paved runways: | over 3,047 m: 2 |
| Airports - with paved runways: | 1,524 to 2,437 m: 7 |
| Airports - with paved runways: | 914 to 1,523 m: 1 (2009) |
| Airports - with unpaved runways: | total: 9 |
| Airports - with unpaved runways: | 1,524 to 2,437 m: 6 |
| Airports - with unpaved runways: | 914 to 1,523 m: 2 |
| Airports - with unpaved runways: | under 914 m: 1 (2009) |
| Pipelines: | gas 43 km; refined products 8 km (2008) |
| Railways: | total: 906 km |
| Railways: | narrow gauge: 906 km 1.000 meter gauge (2008) |
| Roadways: | total: 13,576 km |
| Roadways: | paved: 3,972 km (includes 7 km of expressways) |
| Roadways: | unpaved: 9,604 km (2003) |
| Waterways: | 1,000 km (primarily on Senegal, Saloum, and Casamance rivers) (2008) |
| Ports and terminals: | Dakar |
