| Transportation |   |
| --- | --- |
| Railways: | total: 4,095 km |
| Railways: | standard gauge: 4,095 km 1.435-m gauge (1,377 km partially electrified since 1992) |
| Railways: | note: during to the 1999 Kosovo conflict, the Serbian rail system suffered significant damage due to bridge destruction; many rail bridges have been rebuilt, but the bridge over the Danube at Novi Sad was still down in early 2000; however, a by-pass is available; Montenegrin rail lines remain intact |
| Highways: | total: 48,603 km |
| Highways: | paved: 28,822 km (including 560 km of expressways) |
| Highways: | unpaved: 19,781 km (1998 est.) |
| Highways: | note: because of the 1999 Kosovo conflict, many road bridges were destroyed; since the end of the conflict in June 1999, Serbia has had a rapid reconstruction program to either reconstruct bridges or build by-pass routes |
| Waterways: | 587 km; Danube River runs through Serbia connecting Europe with the Black Sea; in early 2000 the river was obstructed at Novi Sad due to a pontoon bridge; a canal system in north Serbia is available to by-pass damage, however, lock size is limited (1999) |
| Pipelines: | crude oil 415 km; petroleum products 130 km; natural gas 2,110 km |
| Ports and harbors: | Bar, Belgrade, Kotor, Novi Sad, Pancevo, Tivat, Zelenika |
| Airports: | 48 (Serbia 43, Montenegro 5) (1999 est.) |
| Airports - with paved runways: | total: 19 (Serbia 16, Montenegro 3) |
| Airports - with paved runways: | over 3,047 m: 2 (Serbia 2, Montenegro 0) |
| Airports - with paved runways: | 2,438 to 3,047 m: 5 (Serbia 3, Montenegro 2) |
| Airports - with paved runways: | 1,524 to 2,437 m: 5 (Serbia 4, Montenegro 1) |
| Airports - with paved runways: | 914 to 1,523 m: 2 (Serbia 2, Montenegro 0) |
| Airports - with paved runways: | under 914 m: 5 (Serbia 5, Montenegro 0) (1999 est.) |
| Airports - with unpaved runways: | total: 29 (Serbia 27, Montenegro 2) |
| Airports - with unpaved runways: | 1,524 to 2,437 m: 2 (Serbia 2, Montenegro 0) |
| Airports - with unpaved runways: | 914 to 1,523 m: 13 (Serbia 12, Montenegro 1) |
| Airports - with unpaved runways: | under 914 m: 14 (Serbia 13, Montenegro 1) (1999 est.) |
| Heliports: | 2 (1999 est.) |
