| Transportation | El Salvador |
| --- | --- |
| Railways: | total: 562 km |
| Railways: | narrow gauge: 562 km 0.914-m gauge |
| Railways: | note: length of operational route is reduced to 283 km by disuse and lack of maintenance (2001 est.) |
| Highways: | total: 10,029 km |
| Highways: | paved: 1,986 km (including 327 km of expressways) |
| Highways: | unpaved: 8,043 km (1997) |
| Waterways: | Rio Lempa partially navigable |
| Ports and harbors: | Acajutla, Puerto Cutuco, La Libertad, La Union, Puerto El Triunfo |
| Merchant marine: | none (2002 est.) |
| Airports: | 83 (2001) |
| Airports - with paved runways: | total: 4 |
| Airports - with paved runways: | over 3,047 m: 1 |
| Airports - with paved runways: | 1,524 to 2,437 m: 1 |
| Airports - with paved runways: | 914 to 1,523 m: 2 (2002) |
| Airports - with unpaved runways: | total: 78 |
| Airports - with unpaved runways: | 914 to 1,523 m: 17 |
| Airports - with unpaved runways: | under 914 m: 61 (2002) |
| Heliports: | 1 (2002) |
